task_id,example_id,input_shape,output_shape,shape_changed,input_obj_count,output_obj_count,obj_count_changed,detected_rules,rule_count,recolor,rotation,reflection,crop,scale_up,translation
0962bcdd,2,12x12,12x12,False,10,26,True,None,0,False,,,False,False,False
09c534e7,1,20x20,20x20,False,6,12,True,None,0,False,,,False,False,False
09c534e7,2,30x30,30x30,False,4,19,True,None,0,False,,,False,False,False
09c534e7,3,18x18,18x18,False,6,13,True,None,0,False,,,False,False,False
0a1d4ef5,1,30x30,2x3,True,209,6,True,None,0,False,,,False,False,False
0a1d4ef5,2,30x30,3x3,True,193,9,True,None,0,False,,,False,False,False
0a1d4ef5,3,30x30,3x3,True,203,9,True,None,0,False,,,False,False,False
0a2355a6,1,14x14,14x14,False,4,4,False,None,0,False,,,False,False,False
0a2355a6,2,14x11,14x11,False,4,4,False,None,0,False,,,False,False,False
0a2355a6,3,15x14,15x14,False,4,4,False,None,0,False,,,False,False,False
0a2355a6,4,9x11,9x11,False,3,3,False,None,0,False,,,False,False,False
0a938d79,1,22x9,22x9,False,2,9,True,None,0,False,,,False,False,False
0a938d79,2,7x23,7x23,False,2,6,True,None,0,False,,,False,False,False
0a938d79,3,24x8,24x8,False,2,5,True,None,0,False,,,False,False,False
0a938d79,4,10x25,10x25,False,2,10,True,None,0,False,,,False,False,False
0b148d64,1,18x19,7x9,True,18,5,True,crop,1,False,,,True,False,False
0b148d64,2,21x21,10x10,True,16,4,True,crop,1,False,,,True,False,False
0b148d64,3,19x17,9x6,True,16,5,True,crop,1,False,,,True,False,False
0b17323b,1,15x15,15x15,False,3,4,True,None,0,False,,,False,False,False
0b17323b,2,15x15,15x15,False,3,7,True,None,0,False,,,False,False,False
0bb8deee,1,15x13,6x6,True,9,8,True,None,0,False,,,False,False,False
0bb8deee,2,12x13,6x6,True,9,8,True,None,0,False,,,False,False,False
0bb8deee,3,16x12,6x6,True,10,9,True,None,0,False,,,False,False,False
0becf7df,1,10x10,10x10,False,8,8,False,None,0,False,,,False,False,False
0becf7df,2,10x10,10x10,False,8,8,False,None,0,False,,,False,False,False
0becf7df,3,10x10,10x10,False,11,11,False,None,0,False,,,False,False,False
0c786b71,1,3x4,6x8,True,6,15,True,None,0,False,,,False,False,False
0c786b71,2,3x4,6x8,True,9,24,True,None,0,False,,,False,False,False
0c786b71,3,3x4,6x8,True,5,11,True,None,0,False,,,False,False,False
0c9aba6e,1,13x4,6x4,True,11,5,True,None,0,False,,,False,False,False
0c9aba6e,2,13x4,6x4,True,12,4,True,None,0,False,,,False,False,False
0c9aba6e,3,13x4,6x4,True,7,2,True,None,0,False,,,False,False,False
0c9aba6e,4,13x4,6x4,True,6,3,True,None,0,False,,,False,False,False
0ca9ddb6,1,9x9,9x9,False,5,21,True,None,0,False,,,False,False,False
0ca9ddb6,2,9x9,9x9,False,2,10,True,None,0,False,,,False,False,False
0ca9ddb6,3,9x9,9x9,False,3,11,True,None,0,False,,,False,False,False
0d3d703e,1,3x3,3x3,False,3,3,False,recolor,1,True,,,False,False,False
0d3d703e,2,3x3,3x3,False,3,3,False,recolor,1,True,,,False,False,False
0d3d703e,3,3x3,3x3,False,3,3,False,recolor,1,True,,,False,False,False
0d3d703e,4,3x3,3x3,False,3,3,False,recolor,1,True,,,False,False,False
0d87d2a6,1,10x20,10x20,False,7,5,True,None,0,False,,,False,False,False
0d87d2a6,2,20x20,20x20,False,10,4,True,None,0,False,,,False,False,False
0d87d2a6,3,13x14,13x14,False,10,4,True,None,0,False,,,False,False,False
0e206a2e,1,14x15,14x15,False,9,6,True,None,0,False,,,False,False,False
0e206a2e,2,14x18,14x18,False,18,12,True,None,0,False,,,False,False,False
0e206a2e,3,16x14,16x14,False,11,8,True,None,0,False,,,False,False,False
0e671a1a,1,13x13,13x13,False,3,5,True,None,0,False,,,False,False,False
0e671a1a,2,13x13,13x13,False,3,4,True,None,0,False,,,False,False,False
0e671a1a,3,13x13,13x13,False,3,4,True,None,0,False,,,False,False,False
0e671a1a,4,13x13,13x13,False,3,5,True,None,0,False,,,False,False,False
0f63c0b9,1,15x15,15x15,False,3,3,False,None,0,False,,,False,False,False
0f63c0b9,2,15x15,15x15,False,4,4,False,None,0,False,,,False,False,False
0f63c0b9,3,15x15,15x15,False,3,3,False,None,0,False,,,False,False,False
0f63c0b9,4,15x15,15x15,False,3,3,False,None,0,False,,,False,False,False
103eff5b,1,22x12,22x12,False,7,10,True,None,0,False,,,False,False,False
103eff5b,2,24x13,24x13,False,7,10,True,None,0,False,,,False,False,False
10fcaaa3,1,5x3,10x6,True,2,20,True,None,0,False,,,False,False,False
10fcaaa3,2,3x4,6x8,True,2,10,True,None,0,False,,,False,False,False
10fcaaa3,3,4x4,8x8,True,1,20,True,None,0,False,,,False,False,False
10fcaaa3,4,2x4,4x8,True,1,12,True,None,0,False,,,False,False,False
11852cab,1,10x10,10x10,False,10,13,True,None,0,False,,,False,False,False
11852cab,2,10x10,10x10,False,10,13,True,None,0,False,,,False,False,False
11852cab,3,10x10,10x10,False,10,13,True,None,0,False,,,False,False,False
1190bc91,1,10x10,10x10,False,9,58,True,None,0,False,,,False,False,False
1190bc91,2,10x10,10x10,False,8,54,True,None,0,False,,,False,False,False
1190bc91,3,4x4,4x4,False,4,14,True,None,0,False,,,False,False,False
1190e5a7,1,11x11,3x2,True,7,1,True,crop,1,False,,,True,False,False
1190e5a7,2,15x15,2x4,True,9,1,True,crop,1,False,,,True,False,False
1190e5a7,3,27x27,6x5,True,31,1,True,crop,1,False,,,True,False,False
11dc524f,1,13x13,13x13,False,5,5,False,None,0,False,,,False,False,False
11dc524f,2,13x13,13x13,False,3,3,False,None,0,False,,,False,False,False
11dc524f,3,13x13,13x13,False,4,5,True,None,0,False,,,False,False,False
11e1fe23,1,12x11,12x11,False,3,7,True,None,0,False,,,False,False,False
11e1fe23,2,10x12,10x12,False,3,7,True,None,0,False,,,False,False,False
12422b43,1,13x6,13x6,False,6,16,True,None,0,False,,,False,False,False
12422b43,2,8x7,8x7,False,6,9,True,None,0,False,,,False,False,False
12422b43,3,9x7,9x7,False,6,9,True,None,0,False,,,False,False,False
12422b43,4,7x6,7x6,False,5,7,True,None,0,False,,,False,False,False
12422b43,5,5x5,5x5,False,4,5,True,None,0,False,,,False,False,False
12997ef3,1,11x11,6x3,True,4,4,False,None,0,False,,,False,False,False
12997ef3,2,11x9,9x3,True,4,3,True,None,0,False,,,False,False,False
12997ef3,3,11x10,3x6,True,3,2,True,None,0,False,,,False,False,False
12997ef3,4,11x14,3x9,True,6,9,True,None,0,False,,,False,False,False
12eac192,1,5x8,5x8,False,13,11,True,None,0,False,,,False,False,False
12eac192,2,9x8,9x8,False,18,14,True,None,0,False,,,False,False,False
12eac192,3,3x3,3x3,False,3,3,False,recolor,1,True,,,False,False,False
12eac192,4,7x8,7x8,False,13,10,True,None,0,False,,,False,False,False
13713586,1,16x17,16x17,False,4,4,False,None,0,False,,,False,False,False
13713586,2,16x15,16x15,False,4,4,False,None,0,False,,,False,False,False
13713586,3,17x17,17x17,False,4,4,False,None,0,False,,,False,False,False
137eaa0f,1,11x11,3x3,True,9,6,True,None,0,False,,,False,False,False
137eaa0f,2,11x11,3x3,True,6,4,True,None,0,False,,,False,False,False
137eaa0f,3,11x11,3x3,True,7,5,True,None,0,False,,,False,False,False
137f0df0,1,10x10,10x10,False,6,12,True,None,0,False,,,False,False,False
137f0df0,2,10x10,10x10,False,9,14,True,None,0,False,,,False,False,False
137f0df0,3,10x10,10x10,False,9,14,True,None,0,False,,,False,False,False
13f06aa5,1,12x14,12x14,False,5,11,True,None,0,False,,,False,False,False
13f06aa5,2,11x13,11x13,False,5,7,True,None,0,False,,,False,False,False
13f06aa5,3,15x12,15x12,False,3,9,True,None,0,False,,,False,False,False
140c817e,1,9x9,9x9,False,3,26,True,None,0,False,,,False,False,False
140c817e,2,13x13,13x13,False,5,46,True,None,0,False,,,False,False,False
140c817e,3,11x11,11x11,False,4,35,True,None,0,False,,,False,False,False
14754a24,1,14x15,14x15,False,36,38,True,None,0,False,,,False,False,False
14754a24,2,18x16,18x16,False,49,60,True,None,0,False,,,False,False,False
14754a24,3,14x15,14x15,False,34,40,True,None,0,False,,,False,False,False
14754a24,4,18x19,18x19,False,49,54,True,None,0,False,,,False,False,False
1478ab18,1,8x8,8x8,False,5,6,True,None,0,False,,,False,False,False
1478ab18,2,8x8,8x8,False,5,9,True,None,0,False,,,False,False,False
1478ab18,3,8x8,8x8,False,5,11,True,None,0,False,,,False,False,False
14b8e18c,1,10x10,10x10,False,8,19,True,None,0,False,,,False,False,False
14b8e18c,2,10x10,10x10,False,5,13,True,None,0,False,,,False,False,False
14b8e18c,3,10x10,10x10,False,4,23,True,None,0,False,,,False,False,False
150deff5,1,8x10,8x10,False,1,6,True,None,0,False,,,False,False,False
150deff5,2,9x11,9x11,False,1,5,True,None,0,False,,,False,False,False
150deff5,3,8x9,8x9,False,2,4,True,None,0,False,,,False,False,False
15113be4,1,23x23,23x23,False,68,75,True,None,0,False,,,False,False,False
15113be4,2,23x23,23x23,False,51,55,True,None,0,False,,,False,False,False
15113be4,3,23x23,23x23,False,60,73,True,None,0,False,,,False,False,False
15660dd6,1,19x19,5x17,True,35,15,True,None,0,False,,,False,False,False
15660dd6,2,22x29,6x27,True,49,20,True,None,0,False,,,False,False,False
15663ba9,1,12x15,12x15,False,3,40,True,None,0,False,,,False,False,False
15663ba9,2,13x13,13x13,False,2,31,True,None,0,False,,,False,False,False
15663ba9,3,14x16,14x16,False,2,40,True,None,0,False,,,False,False,False
15696249,1,3x3,9x9,True,4,10,True,None,0,False,,,False,False,False
15696249,2,3x3,9x9,True,5,13,True,None,0,False,,,False,False,False
15696249,3,3x3,9x9,True,7,15,True,None,0,False,,,False,False,False
15696249,4,3x3,9x9,True,5,13,True,None,0,False,,,False,False,False
17829a00,1,16x16,16x16,False,17,10,True,None,0,False,,,False,False,False
17829a00,2,16x16,16x16,False,14,8,True,None,0,False,,,False,False,False
178fcbfb,1,10x8,10x8,False,4,7,True,None,0,False,,,False,False,False
178fcbfb,2,9x9,9x9,False,3,5,True,None,0,False,,,False,False,False
178fcbfb,3,10x11,10x11,False,5,11,True,None,0,False,,,False,False,False
17b80ad2,1,12x12,12x12,False,8,7,True,None,0,False,,,False,False,False
17b80ad2,2,13x13,13x13,False,19,17,True,None,0,False,,,False,False,False
17b80ad2,3,7x7,7x7,False,2,2,False,None,0,False,,,False,False,False
17b80ad2,4,17x17,17x17,False,31,28,True,None,0,False,,,False,False,False
17b866bd,1,16x21,16x21,False,2,2,False,None,0,False,,,False,False,False
17b866bd,2,16x16,16x16,False,4,4,False,None,0,False,,,False,False,False
17cae0c1,1,3x9,3x9,False,1,3,True,None,0,False,,,False,False,False
17cae0c1,2,3x9,3x9,False,5,3,True,None,0,False,,,False,False,False
17cae0c1,3,3x9,3x9,False,2,3,True,None,0,False,,,False,False,False
17cae0c1,4,3x9,3x9,False,5,3,True,None,0,False,,,False,False,False
18286ef8,1,12x12,12x12,False,16,16,False,None,0,False,,,False,False,False
18286ef8,2,8x8,8x8,False,14,14,False,None,0,False,,,False,False,False
18286ef8,3,15x15,15x15,False,20,20,False,None,0,False,,,False,False,False
182e5d0f,1,12x12,12x12,False,10,8,True,None,0,False,,,False,False,False
182e5d0f,2,9x9,9x9,False,4,3,True,None,0,False,,,False,False,False
182e5d0f,3,13x13,13x13,False,10,9,True,None,0,False,,,False,False,False
18419cfa,1,18x17,18x17,False,2,2,False,None,0,False,,,False,False,False
18419cfa,2,16x22,16x22,False,4,4,False,None,0,False,,,False,False,False
18419cfa,3,24x16,24x16,False,6,8,True,None,0,False,,,False,False,False
18447a8d,1,13x11,13x11,False,7,7,False,None,0,False,,,False,False,False
18447a8d,2,9x11,9x11,False,5,5,False,None,0,False,,,False,False,False
18447a8d,3,17x11,17x11,False,9,9,False,None,0,False,,,False,False,False
184a9768,1,20x22,20x22,False,17,6,True,None,0,False,,,False,False,False
184a9768,2,21x23,21x23,False,14,7,True,None,0,False,,,False,False,False
184a9768,3,20x20,20x20,False,17,6,True,None,0,False,,,False,False,False
195ba7dc,1,5x13,5x6,True,9,2,True,None,0,False,,,False,False,False
195ba7dc,2,5x13,5x6,True,8,3,True,None,0,False,,,False,False,False
195ba7dc,3,5x13,5x6,True,7,1,True,None,0,False,,,False,False,False
195ba7dc,4,5x13,5x6,True,13,2,True,None,0,False,,,False,False,False
1990f7a8,1,17x19,7x7,True,8,8,False,None,0,False,,,False,False,False
1990f7a8,2,23x23,7x7,True,8,8,False,None,0,False,,,False,False,False
1990f7a8,3,17x16,7x7,True,11,11,False,None,0,False,,,False,False,False
19bb5feb,1,16x15,2x2,True,4,3,True,None,0,False,,,False,False,False
19bb5feb,2,13x15,2x2,True,3,2,True,None,0,False,,,False,False,False
19bb5feb,3,14x16,2x2,True,4,3,True,None,0,False,,,False,False,False
1a07d186,1,15x14,15x14,False,8,2,True,None,0,False,,,False,False,False
1a07d186,2,18x19,18x19,False,7,2,True,None,0,False,,,False,False,False
1a07d186,3,15x16,15x16,False,6,1,True,None,0,False,,,False,False,False
1a244afd,1,16x16,16x16,False,9,9,False,None,0,False,,,False,False,False
1a244afd,2,10x10,10x10,False,7,7,False,None,0,False,,,False,False,False
1a244afd,3,8x8,8x8,False,7,5,True,None,0,False,,,False,False,False
1a2e2828,1,11x12,1x1,True,11,1,True,crop,1,False,,,True,False,False
1a2e2828,2,9x11,1x1,True,8,1,True,crop,1,False,,,True,False,False
1a2e2828,3,11x11,1x1,True,11,1,True,crop,1,False,,,True,False,False
1a2e2828,4,3x3,1x1,True,3,1,True,crop,1,False,,,True,False,False
1a2e2828,5,8x12,1x1,True,8,1,True,crop,1,False,,,True,False,False
1a6449f1,1,21x23,8x10,True,117,22,True,crop,1,False,,,True,False,False
1a6449f1,2,19x13,6x7,True,61,14,True,crop,1,False,,,True,False,False
1a6449f1,3,22x21,4x5,True,122,5,True,crop,1,False,,,True,False,False
1acc24af,1,12x12,12x12,False,5,5,False,None,0,False,,,False,False,False
1acc24af,2,12x12,12x12,False,4,4,False,None,0,False,,,False,False,False
1acc24af,3,12x12,12x12,False,5,5,False,None,0,False,,,False,False,False
1acc24af,4,12x12,12x12,False,3,3,False,None,0,False,,,False,False,False
1b2d62fb,1,5x7,5x3,True,7,3,True,None,0,False,,,False,False,False
1b2d62fb,2,5x7,5x3,True,5,1,True,None,0,False,,,False,False,False
1b2d62fb,3,5x7,5x3,True,8,3,True,None,0,False,,,False,False,False
1b2d62fb,4,5x7,5x3,True,5,1,True,None,0,False,,,False,False,False
1b2d62fb,5,5x7,5x3,True,5,1,True,None,0,False,,,False,False,False
1b59e163,1,18x18,18x18,False,12,9,True,None,0,False,,,False,False,False
1b59e163,2,18x18,18x18,False,19,15,True,None,0,False,,,False,False,False
1b60fb0c,1,10x10,10x10,False,1,2,True,None,0,False,,,False,False,False
1b60fb0c,2,10x10,10x10,False,1,2,True,None,0,False,,,False,False,False
1b60fb0c,3,10x10,10x10,False,1,2,True,None,0,False,,,False,False,False
1b8318e3,1,15x15,15x15,False,16,16,False,None,0,False,,,False,False,False
1b8318e3,2,10x10,10x10,False,10,10,False,None,0,False,,,False,False,False
1b8318e3,3,15x15,15x15,False,11,11,False,None,0,False,,,False,False,False
1be83260,1,27x15,23x11,True,11,31,True,None,0,False,,,False,False,False
1be83260,2,17x19,11x11,True,7,13,True,None,0,False,,,False,False,False
1bfc4729,1,10x10,10x10,False,2,2,False,None,0,False,,,False,False,False
1bfc4729,2,10x10,10x10,False,2,2,False,None,0,False,,,False,False,False
1c02dbbe,1,15x15,15x15,False,7,4,True,None,0,False,,,False,False,False
1c02dbbe,2,15x15,15x15,False,4,2,True,None,0,False,,,False,False,False
1c02dbbe,3,15x15,15x15,False,10,4,True,None,0,False,,,False,False,False
1c0d0a4b,1,9x13,9x13,False,14,15,True,None,0,False,,,False,False,False
1c0d0a4b,2,5x13,5x13,False,4,5,True,None,0,False,,,False,False,False
1c0d0a4b,3,9x9,9x9,False,8,10,True,None,0,False,,,False,False,False
1c56ad9f,1,15x15,15x15,False,1,7,True,None,0,False,,,False,False,False
1c56ad9f,2,15x14,15x14,False,1,18,True,None,0,False,,,False,False,False
1c56ad9f,3,15x15,15x15,False,1,28,True,None,0,False,,,False,False,False
1c56ad9f,4,13x14,13x14,False,1,7,True,None,0,False,,,False,False,False
1c786137,1,13x16,5x3,True,79,8,True,crop,1,False,,,True,False,False
1c786137,2,23x21,6x8,True,209,17,True,crop,1,False,,,True,False,False
1c786137,3,17x18,8x10,True,106,34,True,crop,1,False,,,True,False,False
1caeab9d,1,10x10,10x10,False,3,3,False,None,0,False,,,False,False,False
1caeab9d,2,5x10,5x10,False,3,3,False,None,0,False,,,False,False,False
1caeab9d,3,5x10,5x10,False,3,3,False,None,0,False,,,False,False,False
1cf80156,1,11x12,5x3,True,1,1,False,crop,1,False,,,True,False,False
1cf80156,2,10x12,4x4,True,1,1,False,crop,1,False,,,True,False,False
1cf80156,3,12x12,3x5,True,1,1,False,crop,1,False,,,True,False,False
1d0a4b61,1,25x25,25x25,False,284,325,True,None,0,False,,,False,False,False
1d0a4b61,2,25x25,25x25,False,243,273,True,None,0,False,,,False,False,False
1d0a4b61,3,25x25,25x25,False,198,217,True,None,0,False,,,False,False,False
1d398264,1,20x20,20x20,False,7,28,True,None,0,False,,,False,False,False
1d398264,2,10x10,10x10,False,6,17,True,None,0,False,,,False,False,False
1d398264,3,15x15,15x15,False,5,19,True,None,0,False,,,False,False,False
1d61978c,1,16x16,16x16,False,27,27,False,None,0,False,,,False,False,False
1d61978c,2,16x16,16x16,False,30,30,False,None,0,False,,,False,False,False
1da012fc,1,14x20,14x20,False,9,9,False,None,0,False,,,False,False,False
1da012fc,2,19x22,19x22,False,7,7,False,None,0,False,,,False,False,False
1e0a9b12,1,6x6,6x6,False,5,4,True,None,0,False,,,False,False,False
1e0a9b12,2,4x4,4x4,False,5,4,True,None,0,False,,,False,False,False
1e0a9b12,3,5x5,5x5,False,6,4,True,None,0,False,,,False,False,False
1e32b0e9,1,17x17,17x17,False,9,21,True,None,0,False,,,False,False,False
1e32b0e9,2,17x17,17x17,False,8,16,True,None,0,False,,,False,False,False
1e32b0e9,3,17x17,17x17,False,11,37,True,None,0,False,,,False,False,False
1e5d6875,1,8x8,8x8,False,4,7,True,None,0,False,,,False,False,False
1e5d6875,2,8x8,8x8,False,5,9,True,None,0,False,,,False,False,False
1e81d6f9,1,15x15,15x15,False,29,24,True,None,0,False,,,False,False,False
1e81d6f9,2,15x15,15x15,False,17,14,True,None,0,False,,,False,False,False
1e81d6f9,3,15x15,15x15,False,34,29,True,None,0,False,,,False,False,False
1efba499,1,12x12,12x12,False,8,16,True,None,0,False,,,False,False,False
1efba499,2,12x12,12x12,False,12,14,True,None,0,False,,,False,False,False
1efba499,3,12x14,12x14,False,10,11,True,None,0,False,,,False,False,False
1f0c79e5,1,9x9,9x9,False,4,1,True,None,0,False,,,False,False,False
1f0c79e5,2,9x9,9x9,False,2,1,True,None,0,False,,,False,False,False
1f0c79e5,3,9x9,9x9,False,2,1,True,None,0,False,,,False,False,False
1f0c79e5,4,9x9,9x9,False,2,1,True,None,0,False,,,False,False,False
1f642eb9,1,10x10,10x10,False,6,11,True,None,0,False,,,False,False,False
1f642eb9,2,10x10,10x10,False,4,7,True,None,0,False,,,False,False,False
1f642eb9,3,10x10,10x10,False,7,13,True,None,0,False,,,False,False,False
1f85a75f,1,30x30,3x3,True,37,1,True,crop,1,False,,,True,False,False
1f85a75f,2,30x30,5x3,True,87,1,True,crop,1,False,,,True,False,False
1f876c06,1,10x10,10x10,False,8,18,True,None,0,False,,,False,False,False
1f876c06,2,10x10,10x10,False,6,13,True,None,0,False,,,False,False,False
1f876c06,3,10x10,10x10,False,8,19,True,None,0,False,,,False,False,False
1fad071e,1,9x9,1x5,True,12,1,True,None,0,False,,,False,False,False
1fad071e,2,9x9,1x5,True,9,1,True,crop,1,False,,,True,False,False
1fad071e,3,9x9,1x5,True,11,1,True,None,0,False,,,False,False,False
2013d3e2,1,10x10,3x3,True,17,5,True,crop,1,False,,,True,False,False
2013d3e2,2,10x10,3x3,True,13,6,True,crop,1,False,,,True,False,False
2037f2c7,1,25x25,4x8,True,32,2,True,None,0,False,,,False,False,False
2037f2c7,2,23x25,3x7,True,16,2,True,None,0,False,,,False,False,False
2037f2c7,3,22x22,2x6,True,13,2,True,None,0,False,,,False,False,False
2072aba6,1,3x3,6x6,True,3,12,True,None,0,False,,,False,False,False
2072aba6,2,3x3,6x6,True,1,20,True,None,0,False,,,False,False,False
2072aba6,3,3x3,6x6,True,1,20,True,None,0,False,,,False,False,False
20818e16,1,16x15,6x9,True,4,3,True,None,0,False,,,False,False,False
20818e16,2,14x15,6x8,True,4,3,True,None,0,False,,,False,False,False
20818e16,3,15x15,8x8,True,4,4,False,None,0,False,,,False,False,False
20981f0e,1,14x16,14x16,False,15,15,False,None,0,False,,,False,False,False
20981f0e,2,13x19,13x19,False,18,18,False,None,0,False,,,False,False,False
20981f0e,3,17x10,17x10,False,14,14,False,None,0,False,,,False,False,False
20fb2937,1,20x11,13x11,True,14,9,True,None,0,False,,,False,False,False
20fb2937,2,20x11,13x11,True,18,12,True,None,0,False,,,False,False,False
212895b5,1,18x17,18x17,False,23,49,True,None,0,False,,,False,False,False
212895b5,2,20x20,20x20,False,24,53,True,None,0,False,,,False,False,False
212895b5,3,16x19,16x19,False,29,42,True,None,0,False,,,False,False,False
21f83797,1,13x13,13x13,False,2,2,False,None,0,False,,,False,False,False
21f83797,2,13x13,13x13,False,2,2,False,None,0,False,,,False,False,False
2204b7a8,1,10x10,10x10,False,7,7,False,None,0,False,,,False,False,False
2204b7a8,2,10x10,10x10,False,5,5,False,None,0,False,,,False,False,False
2204b7a8,3,10x10,10x10,False,8,8,False,None,0,False,,,False,False,False
22168020,1,10x10,10x10,False,10,2,True,None,0,False,,,False,False,False
22168020,2,10x10,10x10,False,7,1,True,None,0,False,,,False,False,False
22168020,3,10x10,10x10,False,12,2,True,None,0,False,,,False,False,False
22208ba4,1,16x16,16x16,False,5,5,False,None,0,False,,,False,False,False
22208ba4,2,17x17,17x17,False,5,5,False,None,0,False,,,False,False,False
22208ba4,3,22x15,22x15,False,5,5,False,None,0,False,,,False,False,False
22208ba4,4,7x7,7x7,False,5,3,True,None,0,False,,,False,False,False
22233c11,1,10x10,10x10,False,2,4,True,None,0,False,,,False,False,False
22233c11,2,10x10,10x10,False,4,8,True,None,0,False,,,False,False,False
22233c11,3,10x10,10x10,False,2,4,True,None,0,False,,,False,False,False
22425bda,1,7x7,1x2,True,7,2,True,None,0,False,,,False,False,False
22425bda,2,10x10,1x3,True,18,2,True,None,0,False,,,False,False,False
22425bda,3,12x12,1x4,True,25,4,True,None,0,False,,,False,False,False
